titles	word	n	n_words
БАБА	судья	17	418
БАБА	пристально	1	418
БАБА	смотрит	2	418
БАБА	на	4	418
БАБА	обвиняемых	1	418
БАБА	их	1	418
БАБА	двое	1	418
БАБА	муж	3	418
БАБА	и	19	418
БАБА	жена	2	418
БАБА	самогонщики	1	418
БАБА	так	3	418
БАБА	как	5	418
БАБА	же	3	418
БАБА	спрашивает	3	418
БАБА	судья	17	418
БАБА	значит	1	418
БАБА	вы	8	418
БАБА	обвиняемый	1	418
БАБА	не	19	418
БАБА	признаете	1	418
БАБА	себя	1	418
БАБА	виноватым	1	418
БАБА	нету	3	418
БАБА	говорит	6	418
БАБА	подсудимый	4	418
БАБА	не	19	418
БАБА	признаю	1	418
БАБА	она	6	418
БАБА	во	4	418
БАБА	всем	3	418
БАБА	виновата	3	418
БАБА	она	6	418
БАБА	пущай	4	418
БАБА	и	19	418
БАБА	расплачивается	1	418
БАБА	я	13	418
БАБА	ничего	4	418
БАБА	не	19	418
БАБА	знаю	2	418
БАБА	про	1	418
БАБА	это	5	418
БАБА	позвольте	1	418
БАБА	удивляется	1	418
БАБА	судья	17	418
БАБА	как	5	418
БАБА	же	3	418
БАБА	так	3	418
БАБА	вы	8	418
БАБА	живете	3	418
БАБА	с	7	418
БАБА	женой	1	418
БАБА	в	5	418
БАБА	одной	2	418
БАБА	квартире	2	418
БАБА	и	19	418
БАБА	ничего	4	418
БАБА	не	19	418
БАБА	знаете	2	418
БАБА	не	19	418
БАБА	знаете	2	418
БАБА	даже	1	418
БАБА	чем	1	418
БАБА	занимается	1	418
БАБА	ваша	1	418
БАБА	жена	2	418
БАБА	не	19	418
БАБА	знаю	2	418
БАБА	гражданин	7	418
БАБА	судья	17	418
БАБА	она	6	418
БАБА	во	4	418
БАБА	всем	3	418
БАБА	странно	1	418
БАБА	говорит	6	418
БАБА	судья	17	418
БАБА	подсудимая	6	418
БАБА	что	10	418
БАБА	вы	8	418
БАБА	скажете	1	418
БАБА	верно	5	418
БАБА	уж	5	418
БАБА	начальник	1	418
